COM_CODE;COM_NOM;AUC_NOM;geolocalisation
38029;La Bâtie-Montgascon;Lyon;45.575472151, 5.54225415
38031;Beaufin;Beaufin;44.787010753, 5.959065924
38052;Le Bourg-d'Oisans;Le Bourg-d'Oisans;45.027600374, 6.057662306
38057;Bresson;Grenoble;45.133467078, 5.750971271
38058;Brézins;Grenoble;45.345189216, 5.307915528
38059;Brié-et-Angonnes;Grenoble;45.122913512, 5.778725138
38115;Saint-Martin-de-la-Cluze;Grenoble;44.989743744, 5.661433267
38121;Commelle;SO;45.434774646, 5.231819204
38192;Hurtières;Grenoble;45.28682511, 5.968099673
38198;Jarcieu;Jarcieu;45.335427257, 4.9494848
38224;Mayres-Savel;Mayres-Savel;44.886742343, 5.710971322
38004;L'Albenc;Saint-Marcellin;45.218480217, 5.458684063
38011;Anthon;Lyon;45.784746058, 5.154341218
38014;Arandon;SO;45.717290455, 5.444923613
38051;Bougé-Chambalud;Bougé-Chambalud;45.319795541, 4.892342752
38060;Brion;Grenoble;45.292170374, 5.340132485
38081;Charantonnay;Lyon;45.538513271, 5.115837443
38090;Château-Bernard;Grenoble;44.981684344, 5.564156606
38119;Colombier-saugnieu;SO;nan
38173;Le Freney-d'Oisans;Le Freney-d'Oisans;45.07839939, 6.122756247
38201;Jonage;SO;nan
38220;Marennes;SO;nan
38227;Mépieu;SO;nan
38257;Montrevel;Lyon;45.477087614, 5.407297015
38313;Ponsonnas;La Mure;44.889169717, 5.798476595
38358;Sainte-Anne-sur-Gervonde;Lyon;45.499816928, 5.23316521
38432;Saint-Nicolas-de-Macherin;Grenoble;45.406770644, 5.615397179
38484;Serpaize;Vienne;45.557148975, 4.919506039
38501;Tencin;Grenoble;45.31145701, 5.958832077
38547;Villard-Bonnot;Grenoble;45.245375823, 5.889017865
38556;Ville-sous-Anjou;Vienne;45.376405552, 4.858111784
38559;Vinay;Saint-Marcellin;45.214748583, 5.407851649
38566;Vourey;Grenoble;45.316945467, 5.522298939
38230;Meyrié;Lyon;45.560338258, 5.285122597
38233;Meyzieu;SO;nan
38251;Montceau;SO;nan
38283;Oris-en-Rattier;Oris-en-Rattier;44.933714882, 5.885523173
38322;Presles;Presles;45.092917908, 5.405691567
38343;Romagnieu;Romagnieu;45.561969901, 5.640342772
38396;Saint-Honoré;Saint-Honoré;44.958265906, 5.820376534
38398;Saint-Jean-d'Avelanne;Saint-Jean-d'Avelanne;45.507836938, 5.667672601
38452;Saint-Romain-de-Surieu;Vienne;45.389477878, 4.889189334
38470;La Salle-en-Beaumont;La Salle-en-Beaumont;44.85955735, 5.861257798
38512;Tramolé;Lyon;45.514063457, 5.268033286
38517;Tullins;Grenoble;45.29378374, 5.490509764
38520;Valencogne;Valencogne;45.491718433, 5.531583072
38537;La Verpillière;Lyon;45.637588327, 5.148427724
38456;Châtel-en-Trièves;Saint-Sébastien;44.848335112, 5.803907809
38105;Chirens;Grenoble;45.415995733, 5.556206417
38116;Cognet;La Mure;44.881831771, 5.776494088
38177;La Garde;La Garde;45.068539241, 6.055097559
38196;Jallieu;SO;nan
38248;Montaud;Grenoble;45.260242997, 5.561960104
38267;Mottier;Grenoble;45.42282042, 5.308504227
38298;Le Péage-de-Roussillon;Vienne;45.36841695, 4.783156514
38377;Saint-Clair-de-la-Tour;Lyon;45.570974774, 5.488719268
38388;Saint-Georges-de-Commiers;Grenoble;45.036140908, 5.718685005
38400;Saint-Jean-de-Moirans;Grenoble;45.336996361, 5.587159691
38416;Saint-Marcellin;Saint-Marcellin;45.152698449, 5.317792233
38450;Saint-Quentin-sur-Isère;Grenoble;45.277591768, 5.548012637
38495;La Sône;Saint-Marcellin;45.117113189, 5.280570925
38498;Succieu;Lyon;45.530010744, 5.342411909
38033;Beaulieu;Saint-Marcellin;45.191191667, 5.397089133
38099;Chevrières;Saint-Marcellin;45.191752131, 5.293180998
38122;Communay;SO;nan
38127;Cornillon-en-Trièves;Grenoble;44.8350868, 5.704017797
38147;Doissin;Lyon;45.501452069, 5.42872311
38222;Massieu;Grenoble;45.437380169, 5.598685383
38247;Montalieu-Vercieu;Lyon;45.812034674, 5.403136398
38250;Montcarra;Lyon;45.609332792, 5.398586382
38254;Monteynard;Grenoble;44.980507921, 5.702305025
38302;Le Périer;SO;44.939442952, 5.98361553
38324;Primarette;Primarette;45.408152292, 5.033579264
38335;Revel-Tourdan;Revel-Tourdan;45.371219367, 5.03151706
38375;Saint-Christophe-en-Oisans;Saint-Christophe-en-Oisans;44.928859341, 6.244122507
38394;Saint-Hilaire-du-Rosier;Saint-Hilaire-du-Rosier;45.090450842, 5.250214529
38405;Saint-Joseph-de-Rivière;Grenoble;45.364833804, 5.691247387
38465;Saint-Victor-de-Morestel;Lyon;45.702557662, 5.498284266
38509;La Tour-du-Pin;Lyon;45.573084434, 5.445057809
38038;Belmont;Lyon;45.473646566, 5.364065696
38078;La Chapelle-du-Bard;La Chapelle-du-Bard;45.4023592, 6.139012938
38305;Le Pin;SO;45.459658128, 5.506145844
38351;Saint-Agnin-sur-Bion;Lyon;45.539046745, 5.239493624
38521;La Valette;La Valette;44.944709412, 5.8533091
38533;Venon;Grenoble;45.173586235, 5.810295135
38010;Annoisin-Chatelans;Lyon;45.760970688, 5.291767821
38013;Apprieu;Grenoble;45.397628049, 5.496231895
38045;Biviers;Grenoble;45.243268294, 5.798949533
38089;Chassignieu;Chassignieu;45.500936265, 5.512157745
38132;Les Côtes-de-Corps;Les Côtes-de-Corps;44.841759762, 5.931209125
38154;Entraigues;Entraigues;44.890176622, 5.96403912
38158;Eybens;Grenoble;45.151664806, 5.748603206
38170;Fontanil-Cornillon;Grenoble;45.25450923, 5.663899642
38171;La Forteresse;Grenoble;45.294500942, 5.407160841
38215;Luzinay;Lyon;45.589464773, 4.956685656
38229;Meylan;Grenoble;45.212284323, 5.784509491
38241;Monestier-d'Ambel;Monestier-d'Ambel;44.769274644, 5.924110786
38264;La Morte;La Morte;45.026754791, 5.86213083
38286;Oulles;Grenoble;45.074331961, 5.96327501
38346;Royas;Lyon;45.505362989, 5.101093179
38384;Saint-Étienne-de-Saint-Geoirs;Grenoble;45.345863131, 5.348506136
38434;Saint-Ondras;Saint-Ondras;45.516899127, 5.547442796
38466;Saint-Vincent-de-Mercuze;Grenoble;45.37432461, 5.959133251
38488;Siccieu-Saint-Julien-et-Carisieu;Lyon;45.730082169, 5.314386237
38500;Têche;Saint-Marcellin;45.177720162, 5.37544993
38528;Vaulnaveys-le-Bas;Grenoble;45.098807792, 5.811266581
38542;Veyssilieu;Lyon;45.680050672, 5.227783152
38003;Agnin;Vienne;45.336001664, 4.860372723
38018;Auberives-en-Royans;Auberives-en-Royans;45.064466586, 5.311951632
38073;Chantepérier;Chantelouve;44.986149303, 5.97651066
38092;Châtelus;Châtelus;45.054115042, 5.390749968
38100;Le Cheylas;Grenoble;45.381777569, 5.998403483
38148;Dolomieu;Lyon;45.615268959, 5.486512344
38157;Estrablin;Vienne;45.513439082, 4.959089374
38203;Laffrey;Grenoble;45.029863935, 5.782384747
38260;Moras;Lyon;45.68724114, 5.260109799
38277;Notre-Dame-de-Commiers;Grenoble;45.009812238, 5.70479133
38304;Pierre-Châtel;Grenoble;44.95602504, 5.773967796
38306;Pinsot;SO;45.34176308, 6.125642707
38310;Poliénas;Grenoble;45.250289494, 5.479812161
38337;Rives;Grenoble;45.360473747, 5.487179982
38404;Saint-Jean-le-Vieux;Grenoble;45.207266154, 5.877380622
38429;Saint-Michel-les-Portes;Grenoble;44.864801068, 5.591449055
38446;Saint-Pierre-d'Entremont;Saint-Pierre-d'Entremont;45.385478292, 5.851497274
38524;Varces-Allières-et-Risset;Grenoble;45.091202836, 5.67701729
38043;Bilieu;Grenoble;45.445900563, 5.550310622
38088;Chassieu;SO;nan
38188;Herbeys;Grenoble;45.143197539, 5.797186245
38538;Le Versoud;Grenoble;45.222269406, 5.858768679
38540;Veurey-Voroize;Grenoble;45.269546186, 5.602124088
38166;La Flachère;Grenoble;45.399183084, 5.9622326
38167;Flachères;Lyon;45.469247263, 5.314814494
38225;Autrans-Méaudre en Vercors;Méaudre;45.132046445, 5.527823762
38319;Pont-en-Royans;Pont-en-Royans;45.061507196, 5.347102479
38372;Saint-Bueil;Grenoble;45.473840134, 5.680479597
38531;Velanne;Grenoble;45.488909836, 5.646196406
38040;Besse;Besse;45.104717134, 6.208990934
38069;Champier;Lyon;45.45798802, 5.291929368
38084;Charnècles;Grenoble;45.342143948, 5.527076461
38112;Clavans-en-Haut-Oisans;Clavans-en-Haut-Oisans;45.117133173, 6.162296714
38114;Clonas-sur-Varèze;Vienne;45.414601949, 4.792889453
38162;Faverges-de-la-Tour;Lyon;45.594075224, 5.513638184
38206;Laval-en-Belledonne;Grenoble;45.236199666, 5.981528244
38236;Miribel-les-Échelles;Grenoble;45.437462147, 5.707950912
38271;Murianette;Grenoble;45.188050199, 5.826398538
38344;Roussillon;Vienne;45.378680545, 4.818412828
38353;Saint-Alban-du-Rhône;Vienne;45.418287615, 4.755000713
38354;Saint-Albin-de-Vaulserre;Saint-Albin-de-Vaulserre;45.501424349, 5.697972176
38374;Saint-Chef;Lyon;45.640933714, 5.361810092
38376;Saint-Christophe-sur-Guiers;Grenoble;45.409699815, 5.792809986
38381;Saint-Didier-de-la-Tour;Lyon;45.548057781, 5.487833111
38529;Vaulnaveys-le-Haut;Grenoble;45.115259703, 5.840718161
38539;Vertrieu;Lyon;45.870773365, 5.364708956
38086;Chasselay;Chasselay;45.261435349, 5.340878659
38228;Merlas;Grenoble;45.439679323, 5.658865464
38294;Panossas;Lyon;45.676183375, 5.193538506
38391;Saint-Guillaume;Grenoble;44.945012261, 5.591204063
38141;Culin;Lyon;45.523855087, 5.245233104
38191;Huez;Huez;45.097084781, 6.084624911
38334;Revel;Grenoble;45.168116612, 5.909494182
38361;Saint-Arey;Saint-Arey;44.882465361, 5.742626098
38451;Saint-Romain-de-Jalionas;Lyon;45.752155538, 5.224241397
38481;Sérézin-de-la-Tour;Lyon;45.555072987, 5.341412524
38256;Montferrat;Grenoble;45.475439326, 5.578948856
38293;Panissage;SO;45.49499867, 5.459725169
38295;Parmilieu;Lyon;45.844970979, 5.354503327
38309;Poisat;Grenoble;45.153823787, 5.77035349
38328;Quaix-en-Chartreuse;Grenoble;45.256999945, 5.730526399
38341;Rochetoirin;Lyon;45.588363132, 5.416343483
38357;Saint-André-le-Gaz;Lyon;45.546702816, 5.532573695
38383;Saint-Étienne-de-Crossey;Grenoble;45.379651464, 5.637292804
38443;Saint-Pierre-de-Chérennes;Saint-Marcellin;45.121780808, 5.385891977
38467;Salagnon;Lyon;45.668236349, 5.357136518
38480;Septème;Lyon;45.547689296, 4.985596473
38527;Vaujany;Vaujany;45.186187444, 6.100965444
38534;Vénosc;SO;44.973126799, 6.107707724
38567;Chamrousse;Grenoble;45.119480049, 5.894804755
38134;Cour-et-Buis;Cour-et-Buis;45.440320431, 5.018297154
38140;Crolles;Grenoble;45.282213509, 5.889174893
38006;Allevard;Allevard;45.380080254, 6.11366454
38012;Aoste;Aoste;45.598352184, 5.613180139
38015;Artas;Lyon;45.537587384, 5.166226295
38076;La Chapelle-de-la-Tour;Lyon;45.589160368, 5.470616997
38083;Charette;Lyon;45.804850649, 5.36212435
38107;Chonas-l'Amballan;Vienne;45.464824176, 4.802866479
38113;Clelles;Grenoble;44.824523874, 5.629205579
38231;Meyrieu-les-Étangs;Lyon;45.515649078, 5.198614874
38244;Monsteroux-Milieu;Vienne;45.434842017, 4.947439549
38301;Le Percy;Grenoble;44.789342179, 5.62589117
38366;Saint-Baudille-et-Pipet;Saint-Baudille-et-Pipet;44.782855942, 5.777767943
38411;Saint-laurent-de-mure;SO;nan
38489;Siévoz;Siévoz;44.90497371, 5.850886297
38514;Tréminis;Tréminis;44.73245203, 5.771799679
38530;Vaulx-Milieu;Lyon;45.615354283, 5.18457742
38535;Vernas;Lyon;45.776771635, 5.26761196
38345;Rovon;Grenoble;45.183915303, 5.4654232
38364;Saint-Barthélemy-de-Séchilienne;Grenoble;45.039667745, 5.822068137
38461;Saint-symphorien-d'ozon;SO;nan
38463;Saint-Vérand;Saint-Marcellin;45.182780786, 5.342692002
38549;Villard-Notre-Dame;Villard-Notre-Dame;45.009079301, 6.03307009
38550;Villard-Reculas;Villard-Reculas;45.093430126, 6.0368515
38186;Gresse-en-Vercors;Grenoble;44.886395626, 5.525929713
38211;Lieudieu;Lyon;45.457734366, 5.179806543
38299;Pellafol;Pellafol;44.782397873, 5.880569984
38323;Pressins;Pressins;45.526743431, 5.631618562
38496;Sonnay;Sonnay;45.356617569, 4.916449281
38511;Le Touvet;Grenoble;45.351673674, 5.945573307
38513;Treffort;Grenoble;44.902257238, 5.661247344
38276;Nivolas-Vermelle;Lyon;45.561931006, 5.307317228
38284;Ornacieux-Balbins;Ornacieux;45.405053803, 5.212894579
38317;Le Pont-de-Claix;Grenoble;45.126019662, 5.701776298
38389;Saint-Georges-d'Espéranche;Lyon;45.559817199, 5.079589528
38397;Saint-Ismier;Grenoble;45.251951176, 5.828078767
38419;Saint-Martin-de-Clelles;Grenoble;44.84693611, 5.602094872
38437;Saint-Paul-d'Izeaux;Grenoble;45.313791473, 5.432322987
38438;Saint-Paul-lès-Monestier;Grenoble;44.927148232, 5.614425141
38441;Saint-pierre-de-chandieu;SO;nan
38506;Thuellin;SO;nan
38532;Vénérieu;Lyon;45.660467291, 5.276284582
38536;Vernioz;Vienne;45.430040158, 4.899439795
38546;Vignieu;Lyon;45.631340749, 5.421017145
38025;Balbins;SO;45.388605564, 5.215985653
38036;Beauvoir-en-Royans;Saint-Marcellin;45.117091464, 5.35096709
38054;Bouvesse-Quirieu;Lyon;45.783664659, 5.415320136
38160;Eyzin-Pinet;Eyzin-Pinet;45.477876686, 4.998786739
38164;Feyzin;SO;nan
38202;Jons;SO;nan
38005;Allemond;Allemond;45.170426007, 6.017765015
38032;Beaufort;Beaufort;45.32934734, 5.116149427
38047;Blandin;Blandin;45.480165709, 5.446862719
38082;Charavines;Grenoble;45.42774897, 5.517334786
38096;Chavagneux-Montbertand;SO;nan
38109;Chozeau;Lyon;45.69931217, 5.209865881
38126;Corenc;Grenoble;45.22595619, 5.759415823
38133;Coublevie;Grenoble;45.35675287, 5.618544491
38143;Décines-Charpieu;SO;nan
38150;Domène;Grenoble;45.204409685, 5.83712618
38240;Moissieu-sur-Dolon;Moissieu-sur-Dolon;45.39099448, 4.986525304
38249;Montbonnot-Saint-Martin;Grenoble;45.221431866, 5.815655577
38259;Montseveroux;Montseveroux;45.430058564, 4.973821703
38265;La Motte-d'Aveillans;Grenoble;44.954327652, 5.740604774
38270;La Murette;Grenoble;45.381612305, 5.541345501
38281;Noyarey;Grenoble;45.241448968, 5.619547397
38287;Oyeu;Grenoble;45.427167484, 5.479449536
38288;Oytier-Saint-Oblas;Lyon;45.56410726, 5.031128251
38290;Pact;Pact;45.354149862, 4.988589274
38359;Saint Antoine l'Abbaye;Saint-Antoine-l'Abbaye;45.17260447, 5.215455843
38360;Saint-Appolinard;Saint-Marcellin;45.184088294, 5.260253501
38378;Saint-Clair-du-Rhône;Vienne;45.435310449, 4.773260277
38424;Saint-Maurice-en-Trièves;Saint-Maurice-en-Trièves;44.760526539, 5.653729042
38439;Crêts en Belledonne;Saint-Pierre-d'Allevard;45.35728889, 6.045065663
38477;Savel;SO;nan
38490;Sillans;Grenoble;45.347446746, 5.391639012
38555;Villeneuve-de-Marc;Lyon;45.462858202, 5.115223266
38048;Bonnefamille;Lyon;45.601146078, 5.113645807
38087;Chasse-sur-Rhône;Lyon;45.579477956, 4.81447261
38093;Châtenay;Châtenay;45.328726892, 5.229355465
38181;Goncelin;Grenoble;45.336386798, 5.988296473
38219;Marcollin;Marcollin;45.310372019, 5.088289664
38273;Nantes-en-Ratier;Nantes-en-Ratier;44.92786884, 5.828314336
38326;Prunières;La Mure;44.898762813, 5.756391843
38525;Vasselin;Lyon;45.628595319, 5.450619114
38564;Voissant;Grenoble;45.479669771, 5.704019773
38030;Beaucroissant;Grenoble;45.342496498, 5.468252551
38050;Le Bouchage;Lyon;45.669644366, 5.52237327
38063;Burcin;Grenoble;45.433333457, 5.447108953
38218;Marcilloles;Marcilloles;45.346875359, 5.175144941
38339;Roche;Lyon;45.574428499, 5.155992956
38356;Saint-André-en-Royans;Saint-André-en-Royans;45.082996684, 5.336672711
38395;Plateau-des-Petites-Roches;Grenoble;45.313036229, 5.879418389
38422;Saint-Martin-d'Uriage;Grenoble;45.153190231, 5.85647214
38028;La Bâtie-Divisin;SO;45.510995236, 5.606936398
38068;Champagnier;Grenoble;45.111041523, 5.721793298
38103;Chichilianne;Grenoble;44.807725965, 5.539112121
38214;Lumbin;Grenoble;45.304657141, 5.913647345
38340;Les Roches-de-Condrieu;Vienne;45.452771451, 4.764397161
38445;Saint-Pierre-de-Mésage;Grenoble;45.048092512, 5.765005823
38485;Seyssinet-Pariset;Grenoble;45.17271962, 5.669164228
38563;Voiron;Grenoble;45.378473227, 5.582700611
38041;Bessins;Bessins;45.204029233, 5.264535256
38142;Curtin;SO;nan
